candidate_id	candidate_class	component	component_value	weight	weighted_contribution	rank
T2C0015	new_zealand_moa_divarication	modern_failure_support	0.0	0.2	0.0	29
T2C0015	new_zealand_moa_divarication	morphology_support	1.0	0.25	0.25	29
T2C0015	new_zealand_moa_divarication	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	29
T2C0015	new_zealand_moa_divarication	penalty_source_singleton	1.0	-0.1	-0.1	29
T2C0015	new_zealand_moa_divarication	provenance_completeness	1.0	0.1	0.1	29
T2C0015	new_zealand_moa_divarication	spatiotemporal_compatibility	1.0	0.2	0.2	29
T2C0026	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	30
T2C0026	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	30
T2C0026	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	30
T2C0026	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	30
T2C0026	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	30
T2C0026	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	30
T2C0026	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.875	0.2	0.175	30
T2C0007	neotropical_gomphothere_large_fruit	extinct_partner_support	1.0	0.25	0.25	31
T2C0007	neotropical_gomphothere_large_fruit	modern_failure_support	0.0	0.2	0.0	31
T2C0007	neotropical_gomphothere_large_fruit	morphology_support	1.0	0.25	0.25	31
T2C0007	neotropical_gomphothere_large_fruit	penalty_living_megafauna_ambiguous	0.0	-0.15	-0.0	31
T2C0007	neotropical_gomphothere_large_fruit	penalty_source_singleton	1.0	-0.1	-0.1	31
T2C0007	neotropical_gomphothere_large_fruit	provenance_completeness	1.0	0.1	0.1	31
T2C0007	neotropical_gomphothere_large_fruit	spatiotemporal_compatibility	0.5	0.2	0.1	31
